Gemeentenaam,Gemeentecode,Gemeentenummer,Provincie,Provinciecode,Provincienummer,Veiligheidsregio,Veiligheidsregiocode,Veiligheidsregionummer,GGD_regio,GGD_regiocode,GGD_regionummer,Shape__Area,Shape__Length,Datum,Meldingen,Ziekenhuisopnamen,Overleden,Bevolkingsaantal,Meldingen_100000,Ziekenhuisopnamen_100000,Overleden_100000,ObjectId
Haaren,GM0788,788,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,58557698.6426659,42909.7890895951,1588550400000,43,18,7,14371,299.2,125.3,48.7,117
Haarlem,GM0392,392,Noord-Holland,PV27,27,Kennemerland,VR12,12,GGD Kennemerland,GG3109,3109,32079410.2279511,30151.9747051223,1588550400000,248,58,48,162961,152.2,35.6,29.5,118
Haarlemmermeer,GM0394,394,Noord-Holland,PV27,27,Kennemerland,VR12,12,GGD Kennemerland,GG3109,3109,206279362.166687,72488.6668929722,1588550400000,209,62,21,156039,133.9,39.7,13.5,119
Halderberge,GM1655,1655,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,75201605.7670174,43593.5911200686,1588550400000,53,13,6,30277,175.1,42.9,19.8,120
Hardenberg,GM0160,160,Overijssel,PV23,23,IJsselland,VR04,4,GGD Ijsselland,GG1009,1009,317133882.895287,120850.62068459,1588550400000,169,23,8,60940,277.3,37.7,13.1,121
Harderwijk,GM0243,243,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,39121737.1542282,33926.8380038714,1588550400000,131,30,15,48429,270.5,61.9,31,122
Hardinxveld-Giessendam,GM0523,523,Zuid-Holland,PV28,28,Zuid-Holland-Zuid,VR18,18,Dienst Gezondheid & Jeugd Zuid-Holland Zuid,GG4816,4816,19372825.6481781,25163.8824911202,1588550400000,30,1,2,18295,164,5.5,10.9,123
Harlingen,GM0072,72,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,26799196.4666824,28832.1441351226,1588550400000,16,4,1,15720,101.8,25.4,6.4,124
Hattem,GM0244,244,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,24171780.3090515,25129.9324869199,1588550400000,41,12,5,12213,335.7,98.3,40.9,125
Heemskerk,GM0396,396,Noord-Holland,PV27,27,Kennemerland,VR12,12,GGD Kennemerland,GG3109,3109,27818826.3785477,28780.5633569947,1588550400000,77,25,9,39188,196.5,63.8,23,126
Heemstede,GM0397,397,Noord-Holland,PV27,27,Kennemerland,VR12,12,GGD Kennemerland,GG3109,3109,9658592.07429886,13680.1408632868,1588550400000,87,10,31,27239,319.4,36.7,113.8,127
Heerde,GM0246,246,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,80467845.1038208,38611.0486913304,1588550400000,181,45,26,18587,973.8,242.1,139.9,128
Heerenveen,GM0074,74,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,198243780.076294,102745.747566216,1588550400000,86,13,19,50494,170.3,25.7,37.6,129
Heerhugowaard,GM0398,398,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,40017277.5096359,34713.9468870785,1588550400000,138,27,8,57592,239.6,46.9,13.9,130
Heerlen,GM0917,917,Limburg,PV31,31,Zuid-Limburg,VR24,24,GGD Zuid-Limburg,GG6106,6106,45541283.9484482,42847.014192268,1588550400000,337,118,47,87057,387.1,135.5,54,131
Heeze-Leende,GM1658,1658,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,105038995.418259,50532.366976795,1588550400000,58,15,8,16150,359.1,92.9,49.5,132
Heiloo,GM0399,399,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,18996561.2494354,20266.3680487979,1588550400000,45,9,7,23974,187.7,37.5,29.2,133
Hellendoorn,GM0163,163,Overijssel,PV23,23,Twente,VR05,5,GGD Twente,GG1106,1106,138972581.49688,66798.2990800327,1588550400000,90,8,8,35923,250.5,22.3,22.3,134
Hellevoetsluis,GM0530,530,Zuid-Holland,PV28,28,Rotterdam-Rijnmond,VR17,17,GGD Rotterdam-Rijnmond,GG4607,4607,42724083.3781872,39773.1603945803,1588550400000,59,14,1,40158,146.9,34.9,2.5,135
Helmond,GM0794,794,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,54793497.6292229,42479.1905225339,1588550400000,321,105,35,92432,347.3,113.6,37.9,136
Hendrik-Ido-Ambacht,GM0531,531,Zuid-Holland,PV28,28,Zuid-Holland-Zuid,VR18,18,Dienst Gezondheid & Jeugd Zuid-Holland Zuid,GG4816,4816,11856854.3783569,18545.6033657912,1588550400000,34,7,4,31204,109,22.4,12.8,137
Hengelo,GM0164,164,Overijssel,PV23,23,Twente,VR05,5,GGD Twente,GG1106,1106,61811933.0008545,47025.1395833646,1588550400000,114,20,16,81147,140.5,24.6,19.7,138
Het Hogeland,GM1966,1966,Groningen,PV20,20,Groningen,VR01,1,GGD Groningen,GG0111,111,496395482.865387,202581.824495752,1588550400000,27,7,2,47834,56.4,14.6,4.2,139
Heumen,GM0252,252,Gelderland,PV25,25,Gelderland-Zuid,VR08,8,GGD Gelderland-Zuid,GG2014,2014,41511598.3887634,31639.9804043624,1588550400000,66,17,8,16450,401.2,103.3,48.6,140
Heusden,GM0797,797,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,81205392.7383347,45420.9499986882,1588550400000,134,45,19,44699,299.8,100.7,42.5,141
Hillegom,GM0534,534,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,13457562.3413849,15521.6655928961,1588550400000,30,7,2,22208,135.1,31.5,9,142
Hilvarenbeek,GM0798,798,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD Hart voor Brabant,GG5406,5406,96469339.1117706,52687.9432879182,1588550400000,38,7,5,15514,244.9,45.1,32.2,143
Hilversum,GM0402,402,Noord-Holland,PV27,27,Gooi en Vechtstreek,VR14,14,GGD Gooi en Vechtstreek,GG3606,3606,46359262.5431023,44750.4206968155,1588550400000,168,28,19,90883,184.9,30.8,20.9,144
Hoeksche Waard,GM1963,1963,Zuid-Holland,PV28,28,Zuid-Holland-Zuid,VR18,18,Dienst Gezondheid & Jeugd Zuid-Holland Zuid,GG4816,4816,283919754.789406,92078.5996387742,1588550400000,271,73,19,87461,309.9,83.5,21.7,145
Hof van Twente,GM1735,1735,Overijssel,PV23,23,Twente,VR05,5,GGD Twente,GG1106,1106,215422253.667587,73969.1151151843,1588550400000,61,15,4,35013,174.2,42.8,11.4,146
Hollands Kroon,GM1911,1911,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,375124682.503094,119691.268702781,1588550400000,59,26,6,48434,121.8,53.7,12.4,147
Hoogeveen,GM0118,118,Drenthe,PV22,22,Drenthe,VR03,3,GGD Drente,GG0706,706,129272744.523582,64660.0322424339,1588550400000,85,18,7,55697,152.6,32.3,12.6,148
Hoorn,GM0405,405,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,21062432.8543282,28442.5954006018,1588550400000,87,34,12,73232,118.8,46.4,16.4,149
Horst aan de Maas,GM1507,1507,Limburg,PV31,31,Limburg-Noord,VR23,23,GGD Limburg-Noord,GG6011,6011,191900898.092262,71494.7454986954,1588550400000,120,41,23,42433,282.8,96.6,54.2,150
Houten,GM0321,321,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,58947914.502346,38305.4761246545,1588550400000,107,24,12,50146,213.4,47.9,23.9,151
Huizen,GM0406,406,Noord-Holland,PV27,27,Gooi en Vechtstreek,VR14,14,GGD Gooi en Vechtstreek,GG3606,3606,15913001.3504028,23209.4530846709,1588550400000,112,20,7,41273,271.4,48.5,17,152
Hulst,GM0677,677,Zeeland,PV29,29,Zeeland,VR19,19,GGD Zeeland,GG5006,5006,205001143.750921,103949.513425406,1588550400000,29,9,4,27556,105.2,32.7,14.5,153
IJsselstein,GM0353,353,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,21644631.4719048,25309.2997887942,1588550400000,119,34,29,34110,348.9,99.7,85,154
Kaag en Braassem,GM1884,1884,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,72283552.0648384,42601.4470112171,1588550400000,26,6,2,27300,95.2,22,7.3,155
Kampen,GM0166,166,Overijssel,PV23,23,IJsselland,VR04,4,GGD Ijsselland,GG1009,1009,149133721.710052,83437.9882049854,1588550400000,317,59,26,54340,583.4,108.6,47.8,156
Kapelle,GM0678,678,Zeeland,PV29,29,Zeeland,VR19,19,GGD Zeeland,GG5006,5006,38235190.812233,32464.8838972026,1588550400000,22,3,1,12691,173.4,23.6,7.9,157
Katwijk,GM0537,537,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,26427712.8669357,26675.0910894249,1588550400000,177,26,12,65754,269.2,39.5,18.2,158
Kerkrade,GM0928,928,Limburg,PV31,31,Zuid-Limburg,VR24,24,GGD Zuid-Limburg,GG6106,6106,22146003.6338959,26324.6778524184,1588550400000,181,62,25,45744,395.7,135.5,54.7,159
Koggenland,GM1598,1598,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,83355996.0586777,47326.2740204524,1588550400000,34,6,6,22752,149.4,26.4,26.4,160
Krimpen aan den IJssel,GM0542,542,Zuid-Holland,PV28,28,Rotterdam-Rijnmond,VR17,17,GGD Rotterdam-Rijnmond,GG4607,4607,8940012.13277054,16308.9118465726,1588550400000,65,9,7,29533,220.1,30.5,23.7,161
Krimpenerwaard,GM1931,1931,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,161348524.252026,70643.192561704,1588550400000,140,44,21,56319,248.6,78.1,37.3,162
Laarbeek,GM1659,1659,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,56153722.1078568,37542.1870630994,1588550400000,108,38,26,22530,479.4,168.7,115.4,163
Landerd,GM1685,1685,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,70760058.4097748,49015.5736799215,1588550400000,137,39,21,15730,870.9,247.9,133.5,164
Landgraaf,GM0882,882,Limburg,PV31,31,Zuid-Limburg,VR24,24,GGD Zuid-Limburg,GG6106,6106,24678953.9715996,26206.9824983056,1588550400000,129,53,12,37457,344.4,141.5,32,165
Landsmeer,GM0415,415,Noord-Holland,PV27,27,Zaanstreek-Waterland,VR11,11,GGD Zaanstreek/Waterland,GG7306,7306,26490518.2097664,22293.3182289336,1588550400000,22,3,3,11492,191.4,26.1,26.1,166
Langedijk,GM0416,416,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,27013732.9781075,30209.2645489127,1588550400000,43,16,2,28157,152.7,56.8,7.1,167
Lansingerland,GM1621,1621,Zuid-Holland,PV28,28,Rotterdam-Rijnmond,VR17,17,GGD Rotterdam-Rijnmond,GG4607,4607,56427891.9391594,39575.459589094,1588550400000,166,40,19,62396,266,64.1,30.5,168
Laren,GM0417,417,Noord-Holland,PV27,27,Gooi en Vechtstreek,VR14,14,GGD Gooi en Vechtstreek,GG3606,3606,12410059.7746124,16510.4798831715,1588550400000,23,8,2,11274,204,71,17.7,169
Leeuwarden,GM0080,80,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,255588130.055664,124899.984484755,1588550400000,53,33,6,124058,42.7,26.6,4.8,170
Leiden,GM0546,546,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,23305762.7745056,25537.2031772743,1588550400000,131,38,16,125174,104.7,30.4,12.8,171
Leiderdorp,GM0547,547,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,12294148.0874558,16253.6306530027,1588550400000,29,12,6,27059,107.2,44.3,22.2,172
Leidschendam-Voorburg,GM1916,1916,Zuid-Holland,PV28,28,Haaglanden,VR15,15,GGD Haaglanden,GG7014,7014,35662872.5445518,36344.3763125663,1588550400000,93,19,10,76553,121.5,24.8,13.1,173
Lelystad,GM0995,995,Flevoland,PV24,24,Flevoland,VR25,25,GGD Flevoland,GG2209,2209,265147571.25573,155780.731247509,1588550400000,144,57,16,78619,183.2,72.5,20.4,174
Leudal,GM1640,1640,Limburg,PV31,31,Limburg-Noord,VR23,23,GGD Limburg-Noord,GG6011,6011,164941435.759884,73107.9227189713,1588550400000,174,53,28,35896,484.7,147.6,78,175
Leusden,GM0327,327,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,58873328.2302895,42159.6567419693,1588550400000,40,9,4,30399,131.6,29.6,13.2,176
Lingewaard,GM1705,1705,Gelderland,PV25,25,Gelderland-Midden,VR07,7,Veiligheids- en Gezondheidsregio Gelderland-Midden,GG1911,1911,69162415.6306,45182.0479251475,1588550400000,107,30,8,46606,229.6,64.4,17.2,177
Lisse,GM0553,553,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,16063789.0131531,18962.0367054686,1588550400000,23,6,2,22957,100.2,26.1,8.7,178
Lochem,GM0262,262,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,215953028.008545,86190.1932225132,1588550400000,83,12,12,33730,246.1,35.6,35.6,179
Loon op Zand,GM0809,809,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD Hart voor Brabant,GG5406,5406,50668813.2823677,33544.2000345061,1588550400000,54,21,6,23407,230.7,89.7,25.6,180
Lopik,GM0331,331,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,78987369.5054283,42086.2590624115,1588550400000,57,19,7,14471,393.9,131.3,48.4,181
Loppersum,GM0024,24,Groningen,PV20,20,Groningen,VR01,1,GGD Groningen,GG0111,111,112024621.685761,63739.5926174483,1588550400000,2,0,0,9533,21,0,0,182
Losser,GM0168,168,Overijssel,PV23,23,Twente,VR05,5,GGD Twente,GG1106,1106,99716485.3329926,54989.1109513104,1588550400000,23,7,0,22685,101.4,30.9,0,183
Maasdriel,GM0263,263,Gelderland,PV25,25,Gelderland-Zuid,VR08,8,GGD Gelderland-Zuid,GG2014,2014,75596711.8531837,52273.4689102556,1588550400000,41,15,5,25034,163.8,59.9,20,184
Maasgouw,GM1641,1641,Limburg,PV31,31,Limburg-Noord,VR23,23,GGD Limburg-Noord,GG6011,6011,58140916.5135002,48194.5594520236,1588550400000,97,27,12,23960,404.8,112.7,50.1,185
Maassluis,GM0556,556,Zuid-Holland,PV28,28,Rotterdam-Rijnmond,VR17,17,GGD Rotterdam-Rijnmond,GG4607,4607,10128634.84198,15282.0240937127,1588550400000,52,18,3,33216,156.6,54.2,9,186
Maastricht,GM0935,935,Limburg,PV31,31,Zuid-Limburg,VR24,24,GGD Zuid-Limburg,GG6106,6106,60157133.2934837,42007.1753497611,1588550400000,702,175,103,121558,577.5,144,84.7,187
Medemblik,GM0420,420,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,125399363.233128,65436.198265731,1588550400000,69,18,6,45104,153,39.9,13.3,188
Meerssen,GM0938,938,Limburg,PV31,31,Zuid-Limburg,VR24,24,GGD Zuid-Limburg,GG6106,6106,27709924.7733612,34220.7276358192,1588550400000,92,21,11,18832,488.5,111.5,58.4,189
Meierijstad,GM1948,1948,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,185524021.87323,78059.6956162774,1588550400000,522,206,121,81197,642.9,253.7,149,190
Meppel,GM0119,119,Drenthe,PV22,22,Drenthe,VR03,3,GGD Drente,GG0706,706,57041414.043541,52008.3068091224,1588550400000,31,8,3,33902,91.4,23.6,8.8,191
Middelburg,GM0687,687,Zeeland,PV29,29,Zeeland,VR19,19,GGD Zeeland,GG5006,5006,53051318.768033,40734.1166848912,1588550400000,53,18,7,48810,108.6,36.9,14.3,192
Midden-Delfland,GM1842,1842,Zuid-Holland,PV28,28,Haaglanden,VR15,15,GGD Haaglanden,GG7014,7014,49413536.0311203,49250.1914749005,1588550400000,16,4,0,19344,82.7,20.7,0,193
Midden-Drenthe,GM1731,1731,Drenthe,PV22,22,Drenthe,VR03,3,GGD Drente,GG0706,706,345840045.830597,111475.326016188,1588550400000,20,6,0,33182,60.3,18.1,0,194
Midden-Groningen,GM1952,1952,Groningen,PV20,20,Groningen,VR01,1,GGD Groningen,GG0111,111,295800445.184753,99768.0474302416,1588550400000,30,6,3,60804,49.3,9.9,4.9,195
Mill en Sint Hubert,GM0815,815,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,53140981.2618637,35237.9056306991,1588550400000,36,9,5,10941,329,82.3,45.7,196
Moerdijk,GM1709,1709,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,162777295.237984,86946.2344235811,1588550400000,70,14,8,37136,188.5,37.7,21.5,197
Molenlanden,GM1978,1978,Zuid-Holland,PV28,28,Zuid-Holland-Zuid,VR18,18,Dienst Gezondheid & Jeugd Zuid-Holland Zuid,GG4816,4816,191613232.574406,88033.7118904821,1588550400000,107,18,7,43931,243.6,41,15.9,198
Montferland,GM1955,1955,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,106651697.786461,59595.3690165343,1588550400000,85,15,7,36009,236.1,41.7,19.4,199
Montfoort,GM0335,335,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,38245963.4221764,36380.5807402269,1588550400000,34,12,5,13920,244.3,86.2,35.9,200
Mook en Middelaar,GM0944,944,Limburg,PV31,31,Limburg-Noord,VR23,23,GGD Limburg-Noord,GG6011,6011,18764906.0408859,19605.757638186,1588550400000,34,6,5,7847,433.3,76.5,63.7,201
Neder-Betuwe,GM1740,1740,Gelderland,PV25,25,Gelderland-Zuid,VR08,8,GGD Gelderland-Zuid,GG2014,2014,67424748.1039886,65592.8594167544,1588550400000,115,31,18,24342,472.4,127.4,73.9,202
Nederweert,GM0946,946,Limburg,PV31,31,Limburg-Noord,VR23,23,GGD Limburg-Noord,GG6011,6011,101785800.937824,49549.9253671564,1588550400000,50,31,7,17022,293.7,182.1,41.1,203
Nieuwegein,GM0356,356,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,25647161.1125526,23729.7586961856,1588550400000,104,41,13,63461,163.9,64.6,20.5,204
Nieuwkoop,GM0569,569,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,91154359.603344,54956.4776832292,1588550400000,45,8,4,28809,156.2,27.8,13.9,205
Nijkerk,GM0267,267,Gelderland,PV25,25,Gelderland-Midden,VR07,7,Veiligheids- en Gezondheidsregio Gelderland-Midden,GG1911,1911,69886855.5278549,56386.7416311579,1588550400000,54,22,3,43176,125.1,51,6.9,206
Nijmegen,GM0268,268,Gelderland,PV25,25,Gelderland-Zuid,VR08,8,GGD Gelderland-Zuid,GG2014,2014,57579589.6475372,42654.5823985764,1588550400000,547,123,52,177698,307.8,69.2,29.3,207
Nissewaard,GM1930,1930,Zuid-Holland,PV28,28,Rotterdam-Rijnmond,VR17,17,GGD Rotterdam-Rijnmond,GG4607,4607,81225789.2945366,49524.0418727575,1588550400000,158,47,12,85237,185.4,55.1,14.1,208
Noardeast-Fryslân,GM1970,1970,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,396993475.458534,142960.354601883,1588550400000,23,6,4,45251,50.8,13.3,8.8,209
Noord-Beveland,GM1695,1695,Zeeland,PV29,29,Zeeland,VR19,19,GGD Zeeland,GG5006,5006,92986503.7776289,52860.0108322195,1588550400000,6,1,0,7395,81.1,13.5,0,210
Noordenveld,GM1699,1699,Drenthe,PV22,22,Drenthe,VR03,3,GGD Drente,GG0706,706,205289227.717247,74104.2431409041,1588550400000,18,4,1,31242,57.6,12.8,3.2,211
Noordoostpolder,GM0171,171,Flevoland,PV24,24,Flevoland,VR25,25,GGD Flevoland,GG2209,2209,464191584.498604,115368.205951091,1588550400000,73,14,9,47262,154.5,29.6,19,212
Noordwijk,GM0575,575,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,59271012.7834587,37951.5038026219,1588550400000,41,16,2,43528,94.2,36.8,4.6,213
"Nuenen, Gerwen en Nederwetten",GM0820,820,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,33905218.8997459,34506.5782435276,1588550400000,48,17,8,23379,205.3,72.7,34.2,214
Nunspeet,GM0302,302,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,128868854.055,54478.2101949692,1588550400000,200,42,20,27845,718.3,150.8,71.8,215
Oegstgeest,GM0579,579,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,7947447.97873688,18854.5415523587,1588550400000,37,8,3,24843,148.9,32.2,12.1,216
Oirschot,GM0823,823,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,102881714.672981,60173.6705415659,1588550400000,58,12,9,18723,309.8,64.1,48.1,217
Oisterwijk,GM0824,824,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD Hart voor Brabant,GG5406,5406,65085242.0925522,37943.7964420717,1588550400000,58,16,9,26241,221,61,34.3,218
Oldambt,GM1895,1895,Groningen,PV20,20,Groningen,VR01,1,GGD Groningen,GG0111,111,240283370.672897,80755.7507114046,1588550400000,13,7,0,38213,34,18.3,0,219
Oldebroek,GM0269,269,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,98345889.2018356,50844.2388463207,1588550400000,150,35,17,23645,634.4,148,71.9,220
Oldenzaal,GM0173,173,Overijssel,PV23,23,Twente,VR05,5,GGD Twente,GG1106,1106,21962608.6414337,22789.5377360814,1588550400000,48,14,7,31832,150.8,44,22,221
Olst-Wijhe,GM1773,1773,Overijssel,PV23,23,IJsselland,VR04,4,GGD Ijsselland,GG1009,1009,118304780.319031,65033.8255502083,1588550400000,47,12,8,18251,257.5,65.7,43.8,222
Ommen,GM0175,175,Overijssel,PV23,23,IJsselland,VR04,4,GGD Ijsselland,GG1009,1009,182024143.341805,76840.2640504636,1588550400000,50,9,2,18007,277.7,50,11.1,223
Oost Gelre,GM1586,1586,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,110444103.758018,56742.9793195851,1588550400000,51,13,5,29623,172.2,43.9,16.9,224
Oosterhout,GM0826,826,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,73048264.7236061,42714.2858131222,1588550400000,105,44,14,55990,187.5,78.6,25,225
Ooststellingwerf,GM0085,85,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,226129016.498222,71636.9405017688,1588550400000,7,3,0,25472,27.5,11.8,0,226
Oostzaan,GM0431,431,Noord-Holland,PV27,27,Zaanstreek-Waterland,VR11,11,GGD Zaanstreek/Waterland,GG7306,7306,16087876.7071342,18553.6092686432,1588550400000,26,11,1,9733,267.1,113,10.3,227
Opmeer,GM0432,432,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,41912116.6716118,32103.2687930376,1588550400000,8,1,1,11837,67.6,8.4,8.4,228
Opsterland,GM0086,86,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,227602889.342278,84509.7751279955,1588550400000,23,6,0,29742,77.3,20.2,0,229
Oss,GM0828,828,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,170829173.903301,72022.4959634815,1588550400000,450,165,85,91932,489.5,179.5,92.5,230
Oude IJsselstreek,GM1509,1509,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,137950185.312645,77212.0592677261,1588550400000,74,17,9,39392,187.9,43.2,22.8,231
Ouder-Amstel,GM0437,437,Noord-Holland,PV27,27,Amsterdam-Amstelland,VR13,13,GGD Amsterdam,GG3406,3406,25830643.6008987,32174.5964884563,1588550400000,32,5,0,14029,228.1,35.6,0,232
Oudewater,GM0589,589,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,40096965.4281693,35639.3622610668,1588550400000,51,25,8,10226,498.7,244.5,78.2,233
Overbetuwe,GM1734,1734,Gelderland,PV25,25,Gelderland-Midden,VR07,7,Veiligheids- en Gezondheidsregio Gelderland-Midden,GG1911,1911,115061619.712151,60252.3361537276,1588550400000,119,56,15,47909,248.4,116.9,31.3,234
